org_name,Year,Month,Recetpts,Disposals
Central Board of Direct Taxes (Income Tax),2016,1,1600,49
Central Board of Direct Taxes (Income Tax),2016,2,2106,207
Central Board of Direct Taxes (Income Tax),2016,3,2465,2702
Central Board of Direct Taxes (Income Tax),2016,4,1912,1320
Central Board of Direct Taxes (Income Tax),2016,5,2797,1588
Central Board of Direct Taxes (Income Tax),2016,6,2813,2944
Central Board of Direct Taxes (Income Tax),2016,7,2358,2893
Central Board of Direct Taxes (Income Tax),2016,8,2676,3929
Central Board of Direct Taxes (Income Tax),2016,9,2258,2043
Central Board of Direct Taxes (Income Tax),2016,10,1924,2942
Central Board of Direct Taxes (Income Tax),2016,11,3452,2527
Central Board of Direct Taxes (Income Tax),2016,12,5707,5851
Central Board of Direct Taxes (Income Tax),2017,1,4038,4592
Central Board of Direct Taxes (Income Tax),2017,2,3939,3520
Central Board of Direct Taxes (Income Tax),2017,3,4403,3872
Central Board of Direct Taxes (Income Tax),2017,4,3638,3849
Central Board of Direct Taxes (Income Tax),2017,5,4409,3890
Central Board of Direct Taxes (Income Tax),2017,6,3634,3924
Central Board of Direct Taxes (Income Tax),2017,7,3963,3618
Central Board of Direct Taxes (Income Tax),2017,8,3273,4646
Central Board of Direct Taxes (Income Tax),2017,9,3204,3825
Central Board of Direct Taxes (Income Tax),2017,10,3380,3332
Central Board of Direct Taxes (Income Tax),2017,11,3107,3491
Central Board of Direct Taxes (Income Tax),2017,12,2966,2502
Central Board of Direct Taxes (Income Tax),2018,1,2622,2684
Central Board of Direct Taxes (Income Tax),2018,2,2427,2658
Central Board of Direct Taxes (Income Tax),2018,3,2932,2811
Central Board of Direct Taxes (Income Tax),2018,4,2796,2358
Central Board of Direct Taxes (Income Tax),2018,5,2969,3015
Central Board of Direct Taxes (Income Tax),2018,6,2610,2703
Central Board of Direct Taxes (Income Tax),2018,7,2975,2914
Central Board of Direct Taxes (Income Tax),2018,8,3051,3151
Central Board of Direct Taxes (Income Tax),2018,9,2160,2249
Central Board of Direct Taxes (Income Tax),2018,10,2592,2770
Central Board of Direct Taxes (Income Tax),2018,11,2674,2355
Central Board of Direct Taxes (Income Tax),2018,12,2316,2158
Central Board of Direct Taxes (Income Tax),2019,1,2974,2929
Central Board of Direct Taxes (Income Tax),2019,2,3212,2853
Central Board of Direct Taxes (Income Tax),2019,3,3262,3345
Central Board of Direct Taxes (Income Tax),2019,4,2885,2437
Central Board of Direct Taxes (Income Tax),2019,5,3188,3847
Central Board of Direct Taxes (Income Tax),2019,6,3059,3027
Central Board of Direct Taxes (Income Tax),2019,7,3534,3426
Central Board of Direct Taxes (Income Tax),2019,8,3815,3562
Central Board of Direct Taxes (Income Tax),2019,9,3761,3735
Central Board of Direct Taxes (Income Tax),2019,10,2700,2804
Central Board of Direct Taxes (Income Tax),2019,11,100,190
Central Board of Indirect Taxes and Customs,2016,1,474,181
Central Board of Indirect Taxes and Customs,2016,2,687,413
Central Board of Indirect Taxes and Customs,2016,3,1107,1333
Central Board of Indirect Taxes and Customs,2016,4,904,818
Central Board of Indirect Taxes and Customs,2016,5,990,960
Central Board of Indirect Taxes and Customs,2016,6,1017,918
Central Board of Indirect Taxes and Customs,2016,7,724,798
Central Board of Indirect Taxes and Customs,2016,8,679,754
Central Board of Indirect Taxes and Customs,2016,9,711,647
Central Board of Indirect Taxes and Customs,2016,10,656,697
Central Board of Indirect Taxes and Customs,2016,11,761,742
Central Board of Indirect Taxes and Customs,2016,12,816,795
Central Board of Indirect Taxes and Customs,2017,1,835,901
Central Board of Indirect Taxes and Customs,2017,2,858,864
Central Board of Indirect Taxes and Customs,2017,3,972,918
Central Board of Indirect Taxes and Customs,2017,4,980,877
Central Board of Indirect Taxes and Customs,2017,5,2365,2176
Central Board of Indirect Taxes and Customs,2017,6,3348,2572
Central Board of Indirect Taxes and Customs,2017,7,3671,3963
Central Board of Indirect Taxes and Customs,2017,8,2567,2430
Central Board of Indirect Taxes and Customs,2017,9,2579,2648
Central Board of Indirect Taxes and Customs,2017,10,3709,2315
Central Board of Indirect Taxes and Customs,2017,11,3092,3108
Central Board of Indirect Taxes and Customs,2017,12,1492,2796
Central Board of Indirect Taxes and Customs,2018,1,1422,1893
Central Board of Indirect Taxes and Customs,2018,2,1254,1393
Central Board of Indirect Taxes and Customs,2018,3,1438,1214
Central Board of Indirect Taxes and Customs,2018,4,1485,1459
Central Board of Indirect Taxes and Customs,2018,5,1361,1564
Central Board of Indirect Taxes and Customs,2018,6,1263,1183
Central Board of Indirect Taxes and Customs,2018,7,1483,1402
Central Board of Indirect Taxes and Customs,2018,8,1253,1315
Central Board of Indirect Taxes and Customs,2018,9,638,893
Central Board of Indirect Taxes and Customs,2018,10,1160,1102
Central Board of Indirect Taxes and Customs,2018,11,925,861
Central Board of Indirect Taxes and Customs,2018,12,775,820
Central Board of Indirect Taxes and Customs,2019,1,2035,1423
Central Board of Indirect Taxes and Customs,2019,2,1451,1968
Central Board of Indirect Taxes and Customs,2019,3,1063,1037
Central Board of Indirect Taxes and Customs,2019,4,936,937
Central Board of Indirect Taxes and Customs,2019,5,1567,1390
Central Board of Indirect Taxes and Customs,2019,6,1050,1107
Central Board of Indirect Taxes and Customs,2019,7,1297,1416
Central Board of Indirect Taxes and Customs,2019,8,1429,1161
Central Board of Indirect Taxes and Customs,2019,9,2119,1876
Central Board of Indirect Taxes and Customs,2019,10,1151,1613
Central Board of Indirect Taxes and Customs,2019,11,51,44
Committee on Petitions Rajya Sabha,2018,7,3,1
Committee on Petitions Rajya Sabha,2018,10,3,1
Committee on Petitions Rajya Sabha,2018,11,2,1
Committee on Petitions Rajya Sabha,2018,12,5,3
Committee on Petitions Rajya Sabha,2019,1,4,2
Committee on Petitions Rajya Sabha,2019,2,1,1
Committee on Petitions Rajya Sabha,2019,9,1,2
Department of Administrative Reforms and PG,2016,1,37,7
Department of Administrative Reforms and PG,2016,2,61,72
Department of Administrative Reforms and PG,2016,3,30,31
Department of Administrative Reforms and PG,2016,4,28,37
Department of Administrative Reforms and PG,2016,5,27,22
Department of Administrative Reforms and PG,2016,6,42,34
Department of Administrative Reforms and PG,2016,7,24,1
Department of Administrative Reforms and PG,2016,8,45,46
Department of Administrative Reforms and PG,2016,9,36,46
Department of Administrative Reforms and PG,2016,10,32,36
Department of Administrative Reforms and PG,2016,11,35,1
Department of Administrative Reforms and PG,2016,12,45,63
Department of Administrative Reforms and PG,2017,1,28,28
Department of Administrative Reforms and PG,2017,2,22,43
Department of Administrative Reforms and PG,2017,3,35,33
Department of Administrative Reforms and PG,2017,4,28,17
Department of Administrative Reforms and PG,2017,5,22,36
Department of Administrative Reforms and PG,2017,6,21,23
Department of Administrative Reforms and PG,2017,7,24,3
Department of Administrative Reforms and PG,2017,8,27,56
Department of Administrative Reforms and PG,2017,9,18,1
Department of Administrative Reforms and PG,2017,10,17,32
Department of Administrative Reforms and PG,2017,11,32,33
Department of Administrative Reforms and PG,2018,1,36,51
Department of Administrative Reforms and PG,2018,2,20,2
Department of Administrative Reforms and PG,2018,3,31,5
Department of Administrative Reforms and PG,2018,4,38,40
Department of Administrative Reforms and PG,2018,5,35,86
Department of Administrative Reforms and PG,2018,6,29,15
Department of Administrative Reforms and PG,2018,7,48,46
Department of Administrative Reforms and PG,2018,8,55,53
Department of Administrative Reforms and PG,2018,9,50,49
Department of Administrative Reforms and PG,2018,10,29,33
Department of Administrative Reforms and PG,2018,11,22,5
Department of Administrative Reforms and PG,2018,12,24,58
Department of Administrative Reforms and PG,2019,1,25,9
Department of Administrative Reforms and PG,2019,2,22,35
Department of Administrative Reforms and PG,2019,3,31,32
Department of Administrative Reforms and PG,2019,4,28,18
Department of Administrative Reforms and PG,2019,6,32,63
Department of Administrative Reforms and PG,2019,7,61,57
Department of Administrative Reforms and PG,2019,8,32,36
Department of Administrative Reforms and PG,2019,9,45,17
Department of Administrative Reforms and PG,2019,10,53,58
Department of Agriculture Research and Education,2016,1,82,1
Department of Agriculture Research and Education,2016,2,127,24
Department of Agriculture Research and Education,2016,3,144,186
Department of Agriculture Research and Education,2016,4,165,144
Department of Agriculture Research and Education,2016,5,122,128
Department of Agriculture Research and Education,2016,6,148,57
Department of Agriculture Research and Education,2016,7,129,125
Department of Agriculture Research and Education,2016,8,130,62
Department of Agriculture Research and Education,2016,9,104,37
Department of Agriculture Research and Education,2016,10,118,89
Department of Agriculture Research and Education,2016,11,101,25
Department of Agriculture Research and Education,2016,12,107,64
Department of Agriculture Research and Education,2017,1,87,367
Department of Agriculture Research and Education,2017,2,116,132
Department of Agriculture Research and Education,2017,3,194,190
Department of Agriculture Research and Education,2017,4,158,142
Department of Agriculture Research and Education,2017,5,192,174
Department of Agriculture Research and Education,2017,6,173,213
Department of Agriculture Research and Education,2017,7,210,130
Department of Agriculture Research and Education,2017,8,180,157
Department of Agriculture Research and Education,2017,9,152,141
Department of Agriculture Research and Education,2017,10,126,134
Department of Agriculture Research and Education,2017,11,155,372
Department of Agriculture Research and Education,2017,12,104,160
Department of Agriculture Research and Education,2018,1,121,130
Department of Agriculture Research and Education,2018,2,126,117
Department of Agriculture Research and Education,2018,3,99,111
Department of Agriculture Research and Education,2018,4,111,123
Department of Agriculture Research and Education,2018,5,168,168
Department of Agriculture Research and Education,2018,6,132,105
Department of Agriculture Research and Education,2018,7,153,139
Department of Agriculture Research and Education,2018,8,170,120
Department of Agriculture Research and Education,2018,9,153,132
Department of Agriculture Research and Education,2018,10,154,191
Department of Agriculture Research and Education,2018,11,116,150
Department of Agriculture Research and Education,2018,12,111,110
Department of Agriculture Research and Education,2019,1,132,159
Department of Agriculture Research and Education,2019,2,189,129
Department of Agriculture Research and Education,2019,3,168,174
Department of Agriculture Research and Education,2019,4,125,109
Department of Agriculture Research and Education,2019,5,95,123
Department of Agriculture Research and Education,2019,6,145,97
Department of Agriculture Research and Education,2019,7,194,137
Department of Agriculture Research and Education,2019,8,169,157
Department of Agriculture Research and Education,2019,9,150,157
Department of Agriculture Research and Education,2019,10,191,125
"Department of Agriculture, Cooperation and Farmers Welfare",2016,1,435,91
"Department of Agriculture, Cooperation and Farmers Welfare",2016,2,481,375
"Department of Agriculture, Cooperation and Farmers Welfare",2016,3,532,411
"Department of Agriculture, Cooperation and Farmers Welfare",2016,4,555,396
"Department of Agriculture, Cooperation and Farmers Welfare",2016,5,427,681
"Department of Agriculture, Cooperation and Farmers Welfare",2016,6,566,450
"Department of Agriculture, Cooperation and Farmers Welfare",2016,7,410,501
"Department of Agriculture, Cooperation and Farmers Welfare",2016,8,449,277
"Department of Agriculture, Cooperation and Farmers Welfare",2016,9,388,332
"Department of Agriculture, Cooperation and Farmers Welfare",2016,10,378,378
"Department of Agriculture, Cooperation and Farmers Welfare",2016,11,359,426
